config_dir,pressure_target_GPa,pressure_GPa,H_tot_eV,H_per_atom_eV,n_atoms,formula,POSCAR_path,OUTCAR_path,Li_num,Cu_num,H_num,Li_frac,Cu_frac,H_frac,H_form_eV_per_atom,explicit_formula
12_Cu2H,100.0,99.50872933333335,3.1420227,1.0473409,3,Cu2H1,vasp_calcs/1000_kBar/12_Cu2H/scf/POSCAR,vasp_calcs/1000_kBar/12_Cu2H/scf/OUTCAR,0,2,1,0.0,0.6666666666666666,0.3333333333333333,-0.18820752866091336,Cu2H
13_Cu3H,100.0,99.63048866666668,5.65408758,1.413521895,4,Cu3H1,vasp_calcs/1000_kBar/13_Cu3H/scf/POSCAR,vasp_calcs/1000_kBar/13_Cu3H/scf/OUTCAR,0,3,1,0.0,0.75,0.25,-0.1253543022311201,Cu3H
14_Cu4H,100.0,99.83400400000001,8.32128176,1.664256352,5,Cu4H1,vasp_calcs/1000_kBar/14_Cu4H/scf/POSCAR,vasp_calcs/1000_kBar/14_Cu4H/scf/OUTCAR,0,4,1,0.0,0.8,0.2,-0.05661650637324378,Cu4H
20_LiCuH2,100.0,101.37392200000001,3.36463039,0.6729260779999999,5,Li1Cu2H2,vasp_calcs/1000_kBar/20_LiCuH2/scf/POSCAR,vasp_calcs/1000_kBar/20_LiCuH2/scf/OUTCAR,1,2,2,0.2,0.4,0.4,-0.6459205761747252,Li(CuH)2
7_LiCuH6,100.0,100.04554866666668,6.53146483,0.5024203715384615,13,Li1Cu6H6,vasp_calcs/1000_kBar/7_LiCuH6/scf/POSCAR,vasp_calcs/1000_kBar/7_LiCuH6/scf/OUTCAR,1,6,6,0.07692307692307693,0.46153846153846156,0.46153846153846156,-0.3918393517721255,Li(CuH)6
8_Li2Cu11H2,100.0,99.92539900000001,28.83402192,1.922268128,15,Li2Cu11H2,vasp_calcs/1000_kBar/8_Li2Cu11H2/scf/POSCAR,vasp_calcs/1000_kBar/8_Li2Cu11H2/scf/OUTCAR,2,11,2,0.13333333333333333,0.7333333333333333,0.13333333333333333,-0.2585739054760597,Li2Cu11H2
16_Li2CuH3,100.0,99.46431133333334,0.98640384,0.16440064000000001,6,Li2Cu1H3,vasp_calcs/1000_kBar/16_Li2CuH3/scf/POSCAR,vasp_calcs/1000_kBar/16_Li2CuH3/scf/OUTCAR,2,1,3,0.3333333333333333,0.16666666666666666,0.5,-1.0077596521371286,Li2CuH3
1_Li3H,100.0,99.843047,16.12639519,2.01579939875,8,Li6H2,vasp_calcs/1000_kBar/1_Li3H/scf/POSCAR,vasp_calcs/1000_kBar/1_Li3H/scf/OUTCAR,6,0,2,0.75,0.0,0.25,-0.7454284498685331,Li3H
15_Li4CuH5,100.0,99.87163033333333,1.13620049,0.113620049,10,Li4Cu1H5,vasp_calcs/1000_kBar/15_Li4CuH5/scf/POSCAR,vasp_calcs/1000_kBar/15_Li4CuH5/scf/OUTCAR,4,1,5,0.4,0.1,0.5,-1.1671937232604546,Li4CuH5
19_Li8CuH3,100.0,100.14699000000002,21.26911007,1.7724258391666667,12,Li8Cu1H3,vasp_calcs/1000_kBar/19_Li8CuH3/scf/POSCAR,vasp_calcs/1000_kBar/19_Li8CuH3/scf/OUTCAR,8,1,3,0.6666666666666666,0.08333333333333333,0.25,-0.8529851592977092,Li8CuH3
9_Li9CuH,100.0,99.41785933333335,32.87740393,2.988854902727273,11,Li9Cu1H1,vasp_calcs/1000_kBar/9_Li9CuH/scf/POSCAR,vasp_calcs/1000_kBar/9_Li9CuH/scf/OUTCAR,9,1,1,0.8181818181818182,0.09090909090909091,0.09090909090909091,-0.4625761087423283,Li9CuH
3_LiCu,100.0,99.73378833333334,5.47039644,2.73519822,2,Li1Cu1,vasp_calcs/1000_kBar/3_LiCu/scf/POSCAR,vasp_calcs/1000_kBar/3_LiCu/scf/OUTCAR,1,1,0,0.5,0.5,0.0,-0.5285623838666815,LiCu
21_LiCu2H,100.0,100.11485566666667,10.64720974,1.3309012175,8,Li2Cu4H2,vasp_calcs/1000_kBar/21_LiCu2H/scf/POSCAR,vasp_calcs/1000_kBar/21_LiCu2H/scf/OUTCAR,2,4,2,0.25,0.5,0.25,-0.6154255301935911,LiCu2H
2_LiCu2H3,100.0,99.709922,3.43119462,0.28593288499999997,12,Li2Cu4H6,vasp_calcs/1000_kBar/2_LiCu2H3/scf/POSCAR,vasp_calcs/1000_kBar/2_LiCu2H3/scf/OUTCAR,2,4,6,0.16666666666666666,0.3333333333333333,0.5,-0.6145937068288146,LiCu2H3
5_LiCu3H4,100.0,99.94039133333332,5.07047923,0.316904951875,16,Li2Cu6H8,vasp_calcs/1000_kBar/5_LiCu3H4/scf/POSCAR,vasp_calcs/1000_kBar/5_LiCu3H4/scf/OUTCAR,2,6,8,0.125,0.375,0.5,-0.5157132148767363,LiCu3H4
4_LiCu4H,100.0,99.93021033333333,10.23147566,1.7052459433333331,6,Li1Cu4H1,vasp_calcs/1000_kBar/4_LiCu4H/scf/POSCAR,vasp_calcs/1000_kBar/4_LiCu4H/scf/OUTCAR,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,-0.408591722776307,LiCu4H
10_LiCu5H6,100.0,99.650895,4.41239078,0.3676992316666667,12,Li1Cu5H6,vasp_calcs/1000_kBar/10_LiCu5H6/scf/POSCAR,vasp_calcs/1000_kBar/10_LiCu5H6/scf/OUTCAR,1,5,6,0.08333333333333333,0.4166666666666667,0.5,-0.39701051000799087,LiCu5H6
6_LiCu7H2,100.0,99.84526666666667,16.06820774,1.6068207739999998,10,Li1Cu7H2,vasp_calcs/1000_kBar/6_LiCu7H2/scf/POSCAR,vasp_calcs/1000_kBar/6_LiCu7H2/scf/OUTCAR,1,7,2,0.1,0.7,0.2,-0.2770323045582323,LiCu7H2
17_LiCuH,100.0,99.78521133333334,5.59781475,0.9329691250000001,6,Li2Cu2H2,vasp_calcs/1000_kBar/17_LiCuH/scf/POSCAR,vasp_calcs/1000_kBar/17_LiCuH/scf/OUTCAR,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.8458467042775418,LiCuH
18_LiCuH2,100.0,99.61123966666668,1.70157385,0.21269673125,8,Li2Cu2H4,vasp_calcs/1000_kBar/18_LiCuH2/scf/POSCAR,vasp_calcs/1000_kBar/18_LiCuH2/scf/OUTCAR,2,2,4,0.25,0.25,0.5,-0.8236467107329718,LiCuH2
11_LiH,100.0,99.92325566666668,0.06763128,0.03381564,2,Li1H1,vasp_calcs/1000_kBar/11_LiH/scf/POSCAR,vasp_calcs/1000_kBar/11_LiH/scf/OUTCAR,1,0,1,0.5,0.0,0.5,-1.4099783524454428,LiH
