config_dir,pressure_target_GPa,pressure_GPa,H_tot_eV,H_per_atom_eV,n_atoms,formula,POSCAR_path,OUTCAR_path,Li_num,Cu_num,H_num,Li_frac,Cu_frac,H_frac,H_form_eV_per_atom,explicit_formula
11_LiH,50.0,50.013929000000005,-2.52192714,-1.26096357,2,Li1H1,vasp_calcs/500_kBar/11_LiH/scf/POSCAR,vasp_calcs/500_kBar/11_LiH/scf/OUTCAR,1,0,1,0.5,0.0,0.5,-1.1254692665660586,LiH
12_Li3CuH4,50.0,49.96767666666668,-10.34842794,-1.2935534925,8,Li3Cu1H4,vasp_calcs/500_kBar/12_Li3CuH4/scf/POSCAR,vasp_calcs/500_kBar/12_Li3CuH4/scf/OUTCAR,3,1,4,0.375,0.125,0.5,-0.89092690986326,Li3CuH4
13_Li2Cu2H3,50.0,49.88393800000001,-7.93400438,-1.1334291971428572,7,Li2Cu2H3,vasp_calcs/500_kBar/13_Li2Cu2H3/scf/POSCAR,vasp_calcs/500_kBar/13_Li2Cu2H3/scf/OUTCAR,2,2,3,0.2857142857142857,0.2857142857142857,0.42857142857142855,-0.6548682350963719,Li2Cu2H3
15_LiCuH2,50.0,49.56345833333333,-5.26316893,-1.3157922325,4,Li1Cu1H2,vasp_calcs/500_kBar/15_LiCuH2/scf/POSCAR,vasp_calcs/500_kBar/15_LiCuH2/scf/OUTCAR,1,1,2,0.25,0.25,0.5,-0.6460333706604612,LiCuH2
2_Li3H,50.0,49.75962866666667,1.94762083,0.24345260375,8,Li6H2,vasp_calcs/500_kBar/2_Li3H/scf/POSCAR,vasp_calcs/500_kBar/2_Li3H/scf/OUTCAR,6,0,2,0.75,0.0,0.25,-0.5573780212945447,Li3H
14_Li3Cu5H4,50.0,49.748532000000004,-11.34433707,-0.9453614225,12,Li3Cu5H4,vasp_calcs/500_kBar/14_Li3Cu5H4/scf/POSCAR,vasp_calcs/500_kBar/14_Li3Cu5H4/scf/OUTCAR,3,5,4,0.25,0.4166666666666667,0.3333333333333333,-0.5436428073757202,Li3Cu5H4
16_LiCuH2,50.0,49.84798666666668,-5.52051212,-1.1041024240000001,5,Li1Cu2H2,vasp_calcs/500_kBar/16_LiCuH2/scf/POSCAR,vasp_calcs/500_kBar/16_LiCuH2/scf/OUTCAR,1,2,2,0.2,0.4,0.4,-0.4883147985084972,Li(CuH)2
19_Li6Cu2H,50.0,49.881875,3.60305628,0.4003395866666667,9,Li6Cu2H1,vasp_calcs/500_kBar/19_Li6Cu2H/scf/POSCAR,vasp_calcs/500_kBar/19_Li6Cu2H/scf/OUTCAR,6,2,1,0.6666666666666666,0.2222222222222222,0.1111111111111111,-0.44576972450539487,Li6Cu2H
4_Li6CuH,50.0,50.05774166666667,4.69722951,0.58715368875,8,Li6Cu1H1,vasp_calcs/500_kBar/4_Li6CuH/scf/POSCAR,vasp_calcs/500_kBar/4_Li6CuH/scf/OUTCAR,6,1,1,0.75,0.125,0.125,-0.4147071213309892,Li6CuH
17_LiCu3H,50.0,50.06102266666667,-6.83378702,-0.683378702,10,Li2Cu6H2,vasp_calcs/500_kBar/17_LiCu3H/scf/POSCAR,vasp_calcs/500_kBar/17_LiCu3H/scf/OUTCAR,2,6,2,0.2,0.6,0.2,-0.3892393725668081,LiCu3H
18_LiCu3H2,50.0,50.046005666666666,-11.52580389,-0.9604836575000001,12,Li2Cu6H4,vasp_calcs/500_kBar/18_LiCu3H2/scf/POSCAR,vasp_calcs/500_kBar/18_LiCu3H2/scf/OUTCAR,2,6,4,0.16666666666666666,0.5,0.3333333333333333,-0.3806768562405212,LiCu3H2
1_LiCu4H,50.0,49.886189,-3.81062654,-0.6351044233333333,6,Li1Cu4H1,vasp_calcs/500_kBar/1_LiCu4H/scf/POSCAR,vasp_calcs/500_kBar/1_LiCu4H/scf/OUTCAR,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,-0.3233378687891136,LiCu4H
5_LiCu5H4,50.0,49.95004600000001,-11.40277326,-1.140277326,10,Li1Cu5H4,vasp_calcs/500_kBar/5_LiCu5H4/scf/POSCAR,vasp_calcs/500_kBar/5_LiCu5H4/scf/OUTCAR,1,5,4,0.1,0.5,0.4,-0.3107838771462582,LiCu5H4
7_Li9CuH,50.0,49.89867433333334,9.81643442,0.8924031290909091,11,Li9Cu1H1,vasp_calcs/500_kBar/7_Li9CuH/scf/POSCAR,vasp_calcs/500_kBar/7_Li9CuH/scf/OUTCAR,9,1,1,0.8181818181818182,0.09090909090909091,0.09090909090909091,-0.3099926110197279,Li9CuH
6_Li2Cu11H2,50.0,50.21213133333334,-8.02060388,-0.5347069253333333,15,Li2Cu11H2,vasp_calcs/500_kBar/6_Li2Cu11H2/scf/POSCAR,vasp_calcs/500_kBar/6_Li2Cu11H2/scf/OUTCAR,2,11,2,0.13333333333333333,0.7333333333333333,0.13333333333333333,-0.20531314567808573,Li2Cu11H2
9_Cu2H,50.0,49.913752333333335,-3.15038345,-1.0501278166666668,3,Cu2H1,vasp_calcs/500_kBar/9_Cu2H/scf/POSCAR,vasp_calcs/500_kBar/9_Cu2H/scf/OUTCAR,0,2,1,0.0,0.6666666666666666,0.3333333333333333,-0.11414464313678947,Cu2H
8_Cu3H,50.0,49.907032,-3.5065392,-0.8766348,4,Cu3H1,vasp_calcs/500_kBar/8_Cu3H/scf/POSCAR,vasp_calcs/500_kBar/8_Cu3H/scf/OUTCAR,0,3,1,0.0,0.75,0.25,-0.07467174982775238,Cu3H
10_Cu4H,50.0,49.82446,-3.72734861,-0.745469722,5,Cu4H1,vasp_calcs/500_kBar/10_Cu4H/scf/POSCAR,vasp_calcs/500_kBar/10_Cu4H/scf/OUTCAR,0,4,1,0.0,0.8,0.2,-0.023918745842330048,Cu4H
