explicit_formula,ΔH_DFT_0GPa,ΔH_DFT_100GPa
Cu2H,,-0.1882075286609133
Cu3H,,-0.1253543022311201
Cu4H,0.1025074173823547,-0.0566165063732437
Li(CuH)2,,-0.6459205761747252
Li(CuH)6,,-0.3918393517721255
Li2Cu11H2,-0.015881632294751,-0.2585739054760597
Li2CuH3,,-1.0077596521371286
Li3H,,-0.7454284498685331
Li4CuH5,,-1.1671937232604546
Li8CuH3,,-0.8529851592977092
Li9CuH,,-0.4625761087423283
LiCu,-0.0215166082740037,-0.5285623838666815
LiCu2H,,-0.6154255301935911
LiCu2H3,,-0.6145937068288146
LiCu3H4,,-0.5157132148767363
LiCu4H,-0.0670355390812395,-0.408591722776307
LiCu5H6,,-0.3970105100079908
LiCu7H2,,-0.2770323045582323
LiCuH,,-0.8458467042775418
LiCuH2,,-0.8236467107329718
LiH,-0.4154514619461174,-1.4099783524454428
