file,formula,n_atoms,energy_eV,energy_per_atom_eV,pressure_input_GPa,pressure_output_GPa,stress_GPa,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,lattice_vectors,source_csv,volume_A3,H_tot_eV,H_per_atom_eV,Li_num,Li_frac,Cu_num,Cu_frac,H_num,H_frac,H_form_eV_per_atom,explicit_formula
sample_18.vasp,LiH,2,-4.5604887,-2.2802443504333496,100,99.2010498046875,[-9.921e+01 -9.920e+01 -9.919e+01  2.841e-02 -2.002e-02 -1.646e-02],2.2226340257640174,2.2226340257640165,2.222634025764018,89.9900671524969,120.00573489786652,120.0057348978665,"[[ 1.926464 -0.005929 -1.108514]
 [-1.280508  1.816689 -0.006445]
 [-0.003445  0.005929  2.222623]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_14/summary_batch_14_100GPa.csv,7.7633821575383255,0.24632072363845303,0.12316036181922652,1.0,0.5,0.0,0.0,1.0,0.5,-1.3206336306262163,LiH
sample_20.vasp,LiH,2,-4.5432234,-2.27161169052124,100,100.1373774210612,[-100.232  -99.97  -100.21     0.507    0.359    0.371],2.217733434426893,2.2177334344268917,2.216445415530089,119.8785591821298,119.87855918212976,90.01175619130075,"[[ 1.923052e+00  2.576667e-04 -1.104633e+00]
 [-6.362171e-01  1.813774e+00 -1.106252e+00]
 [-1.858827e-04  1.716666e-03  2.216445e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_76/summary_batch_76_100GPa.csv,7.735769063167755,0.29169757407627905,0.14584878703813953,1.0,0.5,0.0,0.0,1.0,0.5,-1.2979452054073033,LiH
sample_9.vasp,LiH,2,-4.542703,-2.2713515758514404,100,100.16746012369792,[-1.001e+02 -1.001e+02 -1.003e+02 -1.178e-01 -1.665e-01 -6.844e-02],2.217266075362222,2.217266075362222,2.217266075362223,60.15406175521559,60.15406175521554,60.15406175521559,"[[1.925056e+00 2.253339e-03 1.100192e+00]
 [6.388460e-01 1.814667e+00 1.102329e+00]
 [3.772880e-03 6.227636e-05 2.217263e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_81/summary_batch_81_100GPa.csv,7.734840435109103,0.293089878859492,0.146544939429746,1.0,0.5,0.0,0.0,1.0,0.5,-1.2972490530156968,LiH
sample_20.vasp,Li5CuH6,12,-29.131992,-2.4276660283406577,100,99.65809631347656,[-9.951e+01 -9.962e+01 -9.985e+01 -4.374e-02 -2.385e-02 -8.196e-02],3.921191989752294,3.9211919897522978,3.917255803796762,99.6343204030207,99.6343204030207,120.12618359592511,"[[ 3.865162e+00  7.288823e-03 -6.604655e-01]
 [-2.114923e+00  3.235975e+00 -6.567416e-01]
 [ 4.267242e-03  3.385545e-03  3.917252e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_51/summary_batch_51_100GPa.csv,49.07810250939408,1.3954223203093647,0.11628519335911373,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-1.1916919489321722,Li5CuH6
sample_6.vasp,Li7CuH7,15,-34.57314,-2.304875946044922,100,100.30621846516928,[-1.006e+02 -1.002e+02 -1.000e+02 -3.192e-01  1.804e-03 -1.394e-02],2.2582710035496207,3.836082896265419,7.70627515040545,81.15695000755686,89.99643389774154,72.88905302422351,"[[ 2.258268e+00  1.103508e-03  3.727918e-03]
 [ 1.125732e+00  3.597348e+00  7.122827e-01]
 [-1.210860e-02 -2.579208e-01  7.701948e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_39/summary_batch_39_100GPa.csv,62.97327414195126,4.8520506823495,0.32347004548996666,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-1.187328314321896,Li7CuH7
sample_4.vasp,Li5CuH6,12,-29.116371,-2.426364262898763,100,99.8405990600586,[-9.982e+01 -9.937e+01 -1.003e+02  7.254e-04 -4.722e-01  2.743e-04],3.908808279735894,3.921811290344892,3.913161541950147,80.46992336138511,70.59568432069831,60.10961745239084,"[[ 3.692380e+00 -1.753764e-05  1.282619e+00]
 [ 1.845129e+00  3.400123e+00  6.444114e-01]
 [ 1.698318e-02 -3.564278e-03  3.913123e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_82/summary_batch_82_100GPa.csv,49.05359074407678,1.4516731734657213,0.12097276445547678,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-1.187004377835809,Li5CuH6
sample_18.vasp,Li7CuH7,15,-34.154034,-2.276935577392578,100,99.9198939005534,[-9.993e+01 -9.988e+01 -9.995e+01  3.760e-02  5.417e-02 -7.288e-02],5.013550267800118,5.013334641417233,3.848132680538009,58.60851300439385,58.614277224853886,52.94320495047018,"[[ 4.304014e+00 -4.289301e-03  2.571213e+00]
 [ 1.985257e+00  3.816709e+00  2.573910e+00]
 [ 3.575750e-02  1.930366e-02  3.847918e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_72/summary_batch_72_100GPa.csv,62.776549181270916,4.9966247393470695,0.3331083159564713,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-1.1776900438553914,Li7CuH7
sample_7.vasp,Li7CuH7,15,-34.07596,-2.2717305501302083,100,99.94054412841795,[-1.002e+02 -9.981e+01 -9.980e+01  1.619e-01 -1.016e-01 -8.773e-02],4.438952753645002,4.445468623777412,4.448511160726782,90.90441780869092,60.53293469263082,60.60812343914375,"[[ 3.902723  0.006718  2.114949]
 [ 2.229674  3.819149  0.452596]
 [ 0.107258 -0.665444  4.39715 ]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_5/summary_batch_5_100GPa.csv,62.645393842641155,5.000977856370163,0.3333985237580109,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-1.1773998360538518,Li7CuH7
sample_6.vasp,Li4CuH5,10,-24.739311,-2.473931121826172,100,99.28683980305988,[-9.925e+01 -9.924e+01 -9.937e+01 -4.454e-02 -4.262e-02 -2.876e-02],3.228793418376625,3.9357255807559857,3.934018382877929,80.35134256912632,65.8196660886381,65.81084145484509,"[[ 2.937085e+00  3.059779e-03  1.341130e+00]
 [ 1.466091e+00  3.591682e+00  6.635748e-01]
 [-2.486069e-02  5.865796e-03  3.933935e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_80/summary_batch_80_100GPa.csv,41.60153178561782,1.0411500728129326,0.10411500728129326,4.0,0.4,1.0,0.1,5.0,0.5,-1.1766987649791614,Li4CuH5
sample_6.vasp,Li5CuH6,12,-29.148363,-2.429030259450277,100,100.34899648030598,[-1.004e+02 -9.991e+01 -1.007e+02  1.906e-01 -7.440e-02  1.906e-01],3.218842796080924,4.511626513994837,3.9112962068139168,106.51167504347406,114.24937266646197,89.95400100896329,"[[ 2.931195 -0.005407 -1.330044]
 [-0.54562   4.306658 -1.228728]
 [ 0.0105   -0.047367  3.910995]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_79/summary_batch_79_100GPa.csv,49.2147522511137,1.6762766056697558,0.13968971713914632,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-1.1682874251521396,Li5CuH6
