rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,100,225,LiH,2,-1.3206336306262163,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_14/sample_18.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_1_100_225_LiH.vasp
2,100,1,Li4CuH5,10,-1.1766987649791614,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_80/sample_6.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_2_100_1_Li4CuH5.vasp
3,100,71,Li2CuH3,6,-1.06777103920921,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_3/sample_14.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_3_100_71_Li2CuH3.vasp
4,100,11,LiCuH,6,-1.0182772701792846,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_82/sample_5.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_4_100_11_LiCuH.vasp
5,100,12,LiCuH2,8,-0.9273078828743475,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_54/sample_8.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_5_100_12_LiCuH2.vasp
6,100,5,Li8CuH3,12,-0.9226667765713493,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_38/sample_5.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_6_100_5_Li8CuH3.vasp
7,100,8,Li(CuH)2,5,-0.8730076456598459,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_62/sample_4.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_7_100_8_LiCuH2.vasp
8,100,71,LiCu2H,8,-0.864163017468996,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_19/sample_16.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_8_100_71_LiCu2H.vasp
9,100,69,Li6Cu2H,9,-0.8109099515425578,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_87/sample_6.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_9_100_69_Li6Cu2H.vasp
10,100,2,Li3H,8,-0.8055589304336905,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_93/sample_3.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_10_100_2_Li3H.vasp
11,100,71,LiCu2H3,12,-0.7549233205746481,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_50/sample_17.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_11_100_71_LiCu2H3.vasp
12,100,123,LiCu,2,-0.750337220306716,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/100_GPa/batch_23/sample_10.vasp,outputs_hull_mattersim/100_GPa/structures/CONTCAR_12_100_123_LiCu.vasp
