file,formula,n_atoms,energy_eV,energy_per_atom_eV,pressure_input_GPa,pressure_output_GPa,stress_GPa,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,lattice_vectors,source_csv,volume_A3,H_tot_eV,H_per_atom_eV,Li_num,Li_frac,Cu_num,Cu_frac,H_num,H_frac,H_form_eV_per_atom,explicit_formula
sample_9.vasp,LiH,2,-5.910534,-2.9552669525146484,20,20.01531728108724,[-20.001 -19.986 -20.059  -0.036  -0.051  -0.021],2.569600824288979,2.5696008242889787,2.56960082428898,60.04491971787345,60.04491971787342,60.04491971787342,"[[2.229740e+00 4.342410e-03 1.277141e+00]
 [7.415962e-01 2.101302e+00 1.279615e+00]
 [6.817461e-03 1.807353e-03 2.569591e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_81/summary_batch_81_20GPa.csv,12.009473771220762,-4.410240845966213,-2.2051204229831063,1.0,0.5,0.0,0.0,1.0,0.5,-0.8330561336504112,LiH
sample_18.vasp,LiH,2,-5.9105306,-2.9552652835845947,20,20.015553156534832,[-19.986 -20.016 -20.045  -0.073   0.051   0.042],2.5699910830098296,2.569991083009833,2.5699910830098323,90.06436890742145,119.96284355511334,119.96284355511328,"[[ 2.228017 -0.005494 -1.280923]
 [-1.480625  2.1006   -0.009119]
 [-0.003023  0.005494  2.569983]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_14/summary_batch_14_20GPa.csv,12.009455325328567,-4.410222069786219,-2.2051110348931093,1.0,0.5,0.0,0.0,1.0,0.5,-0.8330467455604142,LiH
sample_20.vasp,LiH,2,-5.910488,-2.9552440643310547,20,20.01599502563477,[-20.002 -19.884 -20.162   0.15    0.106   0.168],2.5685501937385493,2.568550193738547,2.5674267881511392,119.90854319808751,119.90854319808751,90.0088565271691,"[[ 2.226866e+00 -1.694659e-04 -1.280046e+00]
 [-7.371709e-01  2.100169e+00 -1.281921e+00]
 [-7.809149e-04  1.190325e-03  2.567426e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_76/summary_batch_76_20GPa.csv,12.00942586311724,-4.410150029259254,-2.205075014629627,1.0,0.5,0.0,0.0,1.0,0.5,-0.8330107252969321,LiH
sample_6.vasp,Li7CuH7,15,-44.3516,-2.956773376464844,20,19.74185943603516,[-1.983e+01 -1.980e+01 -1.960e+01 -3.222e-01 -3.000e-02  1.066e-02],2.5696012832425623,4.396843117881432,8.787934125494083,80.19655732315826,90.02726635556482,73.0069749912291,"[[ 2.569598e+00  1.634927e-03  3.571116e-03]
 [ 1.281199e+00  4.119062e+00  8.509337e-01]
 [-1.625627e-02 -2.126403e-01  8.785346e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_39/summary_batch_39_20GPa.csv,93.4328232652079,-32.83889972717877,-2.189259981811918,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-0.7546289022199597,Li7CuH7
sample_6.vasp,Li5CuH6,12,-36.30907,-3.025755882263184,20,19.81591860453288,[-19.924 -19.803 -19.72   -0.168   0.075  -0.114],3.6343418202112177,5.143300075249258,4.428910494454607,106.71967486335475,114.24735631024411,90.0213231939901,"[[ 3.308595 -0.009024 -1.503847]
 [-0.627393  4.907697 -1.405141]
 [ 0.014726 -0.065524  4.428401]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_79/summary_batch_79_20GPa.csv,71.62387638852427,-27.45053914265977,-2.287544928554981,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.7310095510124119,Li5CuH6
sample_9.vasp,Li5CuH6,12,-36.352844,-3.029403686523437,20,19.85367584228516,[-1.999e+01 -1.973e+01 -1.983e+01  1.742e-02 -5.035e-01 -5.056e-03],2.572916635634296,3.628499881770985,7.716538771452037,89.98469139641976,91.0779683275091,90.00587144003946,"[[ 2.572298e+00  4.986887e-04 -5.641697e-02]
 [-9.821367e-04  3.628497e+00  4.251208e-03]
 [ 2.403753e-02 -6.972522e-03  7.716498e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_44/summary_batch_44_20GPa.csv,72.02751765108903,-27.427416123473602,-2.285618010289467,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.7290826327468979,Li5CuH6
sample_14.vasp,Li6CuH5,12,-34.604706,-2.88372548421224,20,19.937264760335285,[-2.000e+01 -2.012e+01 -1.970e+01 -2.934e-01 -1.147e-02 -1.956e-02],2.5447258161320727,4.345858566078613,7.489937464579373,95.22110617992972,90.0098755391438,107.04409949023112,"[[ 2.544714e+00 -7.245579e-03  2.579108e-03]
 [-1.261726e+00  4.150287e+00 -2.639209e-01]
 [-9.563169e-03 -2.405585e-01  7.486067e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_57/summary_batch_57_20GPa.csv,78.83342012924274,-24.794782619562874,-2.066231884963573,6.0,0.5,1.0,0.08333333333333333,5.0,0.4166666666666667,-0.7222217081925937,Li6CuH5
sample_4.vasp,Li5CuH6,12,-36.201454,-3.016787846883138,20,19.938788731892902,[-2.002e+01 -1.958e+01 -2.022e+01  5.116e-04 -2.268e-01  7.154e-05],4.422355964724154,4.4456241329723,4.421866357572894,80.67122677181891,70.97961458411885,60.17298711948086,"[[ 4.182635e+00 -4.654338e-06  1.436243e+00]
 [ 2.090114e+00  3.856713e+00  7.216398e-01]
 [ 5.311618e-03 -4.031995e-03  4.421861e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_82/summary_batch_82_20GPa.csv,71.30071219688824,-27.328212326320173,-2.277351027193348,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.7208156496507788,Li5CuH6
sample_16.vasp,Li5CuH6,12,-36.23945,-3.019954045613607,20,19.82592646280925,[-1.973e+01 -1.977e+01 -1.998e+01  4.908e-02 -4.910e-02 -1.377e-02],2.5837273131139584,4.432891591047099,6.793366047780086,109.06946980549648,100.9762787822253,90.03387111299119,"[[ 2.535975e+00  1.437652e-03 -4.944455e-01]
 [-2.863880e-01  4.181654e+00 -1.443011e+00]
 [ 6.692445e-03 -8.119864e-03  6.793358e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_1/summary_batch_1_20GPa.csv,72.02639693073597,-27.326635829703655,-2.2772196524753046,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.7206842749327356,Li5CuH6
sample_6.vasp,Li4CuH4,9,-26.952295,-2.994699478149414,20,19.909599939982098,[-2.011e+01 -2.011e+01 -1.951e+01  1.107e-02  1.913e-02  4.003e-03],2.544572349444455,2.5446177669488503,10.317117764230746,90.0,89.97942696905322,120.00059043454652,"[[ 2.544571e+00  4.039126e-04  2.343426e-03]
 [-1.272682e+00  2.203488e+00 -8.509796e-05]
 [-5.796552e-03 -2.949506e-03  1.031712e+01]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_90/summary_batch_90_20GPa.csv,57.85272843482852,-19.76316975043445,-2.1959077500482724,4.0,0.4444444444444444,1.0,0.1111111111111111,4.0,0.4444444444444444,-0.7195654769501386,Li4CuH4
