file,formula,n_atoms,energy_eV,energy_per_atom_eV,pressure_input_GPa,pressure_output_GPa,stress_GPa,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,lattice_vectors,source_csv,volume_A3,H_tot_eV,H_per_atom_eV,Li_num,Li_frac,Cu_num,Cu_frac,H_num,H_frac,H_form_eV_per_atom,explicit_formula
sample_13.vasp,Cu2H,3,-10.160728,-3.386909484863281,75,75.0748799641927,[-7.475e+01 -7.518e+01 -7.529e+01 -1.461e-01  4.725e-04  3.397e-04],2.4198676160693,2.4162380701169464,3.992232828402752,90.09685544360256,90.0,120.04970309190044,"[[ 2.419867e+00  1.313689e-03  1.795161e-03]
 [-1.211066e+00  2.090814e+00 -4.691489e-03]
 [-2.961307e-03 -5.563276e-04  3.992232e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_20/summary_batch_20_75GPa.csv,20.20502259904716,-0.6930461037391495,-0.23101536791304986,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,-0.4177220101757632,Cu2H
sample_10.vasp,Cu3H,4,-13.7496195,-3.4374048709869385,75,74.74103546142578,[-7.474e+01 -7.474e+01 -7.475e+01  1.960e-03  3.299e-03 -3.788e-04],2.3913658629613432,2.391365862961341,6.085907809286111,78.66953792573659,78.6695379257366,59.99999999999999,"[[ 2.344522e+00  1.351134e-17  4.710087e-01]
 [ 1.125154e+00  2.057127e+00  4.699853e-01]
 [-3.070985e-03  1.207387e-03  6.085907e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_39/summary_batch_39_75GPa.csv,29.354489758509477,-0.05584043235523595,-0.013960108088808987,0.0,0.0,3.0,0.75,1.0,0.25,-0.42073334126273537,Cu3H
sample_4.vasp,Cu4H,5,-17.25748,-3.451496124267578,75,74.60157012939453,[-7.460e+01 -7.460e+01 -7.460e+01  3.887e-07  4.390e-06 -6.089e-06],3.3790628454446137,3.379062845444614,3.3790628454446154,90.0,90.0,90.0,"[[ 3.379063e+00 -7.561185e-21  4.747720e-04]
 [ 1.323967e-07  3.379063e+00 -9.422984e-04]
 [-4.747719e-04  9.422984e-04  3.379063e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_76/summary_batch_76_75GPa.csv,38.58237067541109,0.7074921350097121,0.14149842700194243,0.0,0.0,4.0,0.8,1.0,0.2,-0.39731476071871175,Cu4H
sample_8.vasp,Cu5H2,7,-23.477308,-3.3539011819022044,75,75.06214904785156,[-7.517e+01 -7.520e+01 -7.481e+01 -5.278e-02 -8.496e-02 -3.046e-03],2.3929080236747327,2.392707995743342,10.359011070427323,83.48574628918462,83.41330095240859,60.02636719704467,"[[ 2.375824e+00  2.763556e-03  2.854177e-01]
 [ 1.167580e+00  2.069219e+00  2.830923e-01]
 [-4.762528e-02 -3.137116e-02  1.035885e+01]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_63/summary_batch_63_75GPa.csv,50.93045453550649,0.383668718722479,0.05480981696035414,0.0,0.0,5.0,0.7142857142857143,2.0,0.2857142857142857,-0.25764916296590945,Cu5H2
sample_15.vasp,CuH,4,-12.716705,-3.1791763305664062,75,75.28754170735677,[-7.518e+01 -7.520e+01 -7.547e+01 -2.585e-04  4.633e-03 -1.399e-04],2.498559188537388,2.496889888707805,4.2514464863325605,90.0880790274508,90.04966719460607,120.0086012710736,"[[ 2.498549  0.004336 -0.005564]
 [-1.252538  2.159991 -0.00674 ]
 [ 0.005766  0.009056  4.251433]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_95/summary_batch_95_75GPa.csv,22.96769222569171,-1.92400395765136,-0.48100098941284,0.0,0.0,1.0,0.5,1.0,0.5,-0.22757444985312725,CuH
sample_2.vasp,Li(Cu2H)3,10,-32.26487,-3.2264869689941404,75,74.63331095377605,[-7.461e+01 -7.460e+01 -7.469e+01  8.130e-02  5.735e-05 -2.645e-06],2.3923039652228906,4.120276719731099,7.14695131701107,84.27758881506008,90.0,106.87643550025308,"[[ 2.392304e+00 -1.212497e-03  4.229271e-04]
 [-1.194228e+00  3.925702e+00  3.733113e-01]
 [-1.228984e-03  6.795889e-02  7.146628e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_3/summary_batch_3_75GPa.csv,67.04628867079899,-1.0330623048232148,-0.10330623048232149,1.0,0.1,6.0,0.6,3.0,0.3,-0.5692805704338874,Li(Cu2H)3
sample_13.vasp,Li(Cu2H3)2,11,-33.424477,-3.0385887839577417,75,75.26053110758464,[-7.547e+01 -7.520e+01 -7.511e+01  1.242e-03 -1.806e-02  1.601e-01],4.087971111601702,4.088668677563917,4.13121080758073,99.21518946378762,99.23721629867404,119.28097997680136,"[[ 4.025289  0.016924 -0.712929]
 [-2.170428  3.392058 -0.707387]
 [ 0.057501  0.100535  4.129587]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_21/summary_batch_21_75GPa.csv,57.117324135936,-6.594221857506486,-0.5994747143187715,1.0,0.09090909090909091,4.0,0.36363636363636365,6.0,0.5454545454545454,-0.3998673627387311,Li(Cu2H3)2
sample_19.vasp,Li(Cu3H)2,9,-28.316387,-3.146265241834852,75,75.02083333333333,[-7.510e+01 -7.476e+01 -7.521e+01 -6.630e-02 -1.783e-01  7.988e-02],2.3452464664495647,5.913283690229657,6.2400329462926045,125.55642159043488,111.25732211461272,78.89360514819646,"[[ 2.25012   0.136347 -0.646956]
 [-0.038532  4.961026 -3.21771 ]
 [-0.554746 -0.302964  6.207937]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_89/summary_batch_89_75GPa.csv,65.59302322322195,2.3971054348141045,0.2663450483126783,1.0,0.1111111111111111,6.0,0.6666666666666666,2.0,0.2222222222222222,-0.42627378330317156,Li(Cu3H)2
sample_11.vasp,Li(Cu3H4)2,15,-45.614834,-3.0409889221191406,75,74.97128804524739,[-74.854 -74.99  -75.07   -0.229  -0.287   0.299],4.516767781177857,4.516767781177858,4.070487790041945,84.60812511041107,84.60812511041105,78.98737565575755,"[[ 4.50243  -0.085491  0.349292]
 [ 0.921453  4.407239  0.358278]
 [ 0.068882  0.046763  4.069636]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_33/summary_batch_33_75GPa.csv,80.90700561924102,-7.755691668831574,-0.5170461112554382,1.0,0.06666666666666667,6.0,0.4,8.0,0.5333333333333333,-0.3030869762141518,Li(Cu3H4)2
sample_2.vasp,Li(Cu4H)2,11,-35.788536,-3.253503279252486,75,74.89709218343098,[-7.488e+01 -7.461e+01 -7.520e+01  9.046e-02 -4.023e-02  3.024e-02],2.376294934504892,6.379382080272154,6.833891690576597,123.83202331871632,99.99641409642302,90.00391914808533,"[[ 2.341232e+00  6.749048e-04 -4.067047e-01]
 [-6.220005e-01  5.250662e+00 -3.569339e+00]
 [-1.691029e-02  2.080863e-02  6.833839e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_78/summary_batch_78_75GPa.csv,84.15445766740422,3.551228258530287,0.3228389325936625,1.0,0.09090909090909091,8.0,0.7272727272727273,2.0,0.18181818181818182,-0.43784429434795397,Li(Cu4H)2
